smiles,SubstructureMatches,Min_N_O_filter,Frac_N_O,Covalent,SpecialMol,SeverityScore,SeverityComment
CC1CC2(CN1)C(C)COCCC1=CN=NN21,no match,no match,0.29411764705882354,0,0,0,CLEAR
CCCCC1=NC(O)=C(C)SC=C(O)C(C)=N1,no match,no match,0.23529411764705882,0,0,0,CLEAR
CC12OC11CN3C=NCCC3C1CC2(C)O,no match,no match,0.25,0,0,0,CLEAR
CCOC1(C)CC2C(C3CN2CCN3)S1(=O)=O,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1CNC2=C(NN=NC2=O)C(=O)N1C,no match,no match,0.4666666666666667,0,0,0,CLEAR
CC1OC2OC1C1C(N)C(CO)NCCC21N,no match,no match,0.35294117647058826,0,0,0,CLEAR
CC1NC2=NN(N=C2C1C(O)=O)C(CO)CO,no match,no match,0.47058823529411764,0,0,0,CLEAR
CCCC1=CN=C(NCC(N)C2=CSN=C2)O1,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1=CC(=O)C(Br)=CN1CC1=NC(=O)C=NS1,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1(C)NC2CC1C13COCC1CN=CNC23,no match,no match,0.23529411764705882,0,0,0,CLEAR
CC1OC2CC1CCC(O)(C#C)C(=O)C2,no match,no match,0.2,0,0,0,CLEAR
CC1C=C2COCC(CC2O)C(=O)C2OC12,no match,no match,0.25,0,0,0,CLEAR
CC(C)COC(C)CC1=C(Cl)SC(O)=CC1=O,no match,no match,0.17647058823529413,0,0,0,CLEAR
CC1=C2NC=C1C=CC(C)=CC1CC2S1(=O)=O,no match,no match,0.17647058823529413,0,0,0,CLEAR
CC1OC(CC#C)C(O)C(=O)N(CC1N)C=N,no match,no match,0.35294117647058826,0,0,0,CLEAR
CC(C(O)C1=NC2CC(CC2=O)O1)N(C)C=N,no match,no match,0.35294117647058826,0,0,0,CLEAR
CC1CCC2(C1)CC1CCCOC1(C)CCN2,no match,no match,0.11764705882352941,0,0,0,CLEAR
CN1CC2=CC(C)(CN)CC2(N)C1CC#N,no match,no match,0.25,0,0,0,CLEAR
CC1=NC=C2C(=C1Cl)C(=O)SC(O)=C(C)C2=O,no match,no match,0.23529411764705882,0,0,0,CLEAR
CC12CCC3C=CN4C=NC(C1C#C)C4C23,no match,no match,0.125,0,0,0,CLEAR
CCCC1(C)NC2=C(OC1C)C(=NO2)C(C)N,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1CNCC(C#C)C2=CC=C(OCO1)N2C,no match,no match,0.23529411764705882,0,0,0,CLEAR
CC(NCC(C)(C)C)C(=O)OCC1CCO1,no match,no match,0.25,0,0,0,CLEAR
CC(N)C1=CN=CC2=CC=C(SC=C1O)C=C2,no match,no match,0.17647058823529413,0,0,0,CLEAR
CC1C2(CC(=O)CC2O)OCCC1(O)CCO,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1N(C=O)C2(CCC1(N)C2)C1CN=CN1C,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC(NC(C)(C(N)=O)C(C)(C)O)C1=CNN=C1,no match,no match,0.35294117647058826,0,0,0,CLEAR
CN1CC2C(=O)OCC3C=C(C)CC23C1,no match,no match,0.2,0,0,0,CLEAR
CC1=CC=C(O)C2=C(O)C(CO)=C(OC=O)N12,no match,no match,0.35294117647058826,0,0,0,CLEAR
CC1COC(CC2C3CS(=O)(=O)C2CC3C)O1,no match,no match,0.23529411764705882,0,0,0,CLEAR
CC1=CN=CN2C3=NC(=O)C=C3OC(CO)=C12,no match,no match,0.35294117647058826,0,0,0,CLEAR
CC1CCCCN(C=O)C(=O)N2N=C(C)C=C12,no match,no match,0.29411764705882354,0,0,0,CLEAR
CCC(C)(C)C1=C(C)NN=C1CC1=NON=N1,no match,no match,0.35294117647058826,0,0,0,CLEAR
CCC(NCC(CO)C1(C)CCCN1)C(O)=O,no match,no match,0.29411764705882354,0,0,0,CLEAR
CCC1(CCN(C(C)C1)C1=C(N)N=NO1)OC,no match,no match,0.35294117647058826,0,0,0,CLEAR
CCC1CC2C(C)C1C(N)COC(C)C2OC,no match,no match,0.17647058823529413,0,0,0,CLEAR
CC1NC2(CCCC1C#C)C1OC2C=C1,no match,no match,0.13333333333333333,0,0,0,CLEAR
CCC(C)C12NCC(O)C1COC2C,no match,no match,0.21428571428571427,0,0,0,CLEAR
CC1CC2CC(C2)C(CCO1)C1=CN=NS1,no match,no match,0.1875,0,0,0,CLEAR
CC12CC(O)C3(O)C(C#C)C4=COC(C1)=C4C23,no match,no match,0.17647058823529413,0,0,0,CLEAR
C#CC1=CCC2CNCC(CC3CC23)C=C1,no match,no match,0.0625,0,0,0,CLEAR
CC(CN1C(=O)SC(C#N)=C1C)C(=O)CC#N,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1CC2(O)CC(C)(CC2C(N)C#N)C(C)N1,no match,no match,0.23529411764705882,0,0,0,CLEAR
CCC(CC(=O)CNC1C2CCNC12)OC,no match,no match,0.25,0,0,0,CLEAR
CC(CN)NC(C(C)N(C)C=N)C1=CN=NS1,no match,no match,0.35294117647058826,0,0,0,CLEAR
CC1OC2=NC1(C(N)CC(N)COC2)C(O)=O,no match,no match,0.4117647058823529,0,0,0,CLEAR
CC1(C)C2CCCC(O2)C1(N)CCCOC=O,no match,no match,0.23529411764705882,0,0,0,CLEAR
CC(N)C12OCCN(C=O)C3C(CC1N)C23,no match,no match,0.3125,0,0,0,CLEAR
CCCCC(C)(O)COCC(O)C(=O)NCC,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1NCC2=C1C(C#N)=C1NCC(C)(C#N)N21,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC(N)CC1(CO)C2C(NC1C)C2S(N)(=O)=O,no match,no match,0.35294117647058826,0,0,0,CLEAR
CCCC(=O)OC(C)(C)C(C#C)C1COCO1,no match,no match,0.23529411764705882,0,0,0,CLEAR
CC1(O)CC2CC(O)(CO)C(O)C2(CC#C)C1,no match,no match,0.23529411764705882,0,0,0,CLEAR
CCC1N=COC11COC=NCCC1(N)CN,no match,no match,0.35294117647058826,0,0,0,CLEAR
CC1=NNC(NC2(C)C3COCC2OCO3)=N1,no match,no match,0.4117647058823529,0,0,0,CLEAR
CC1=C2C3OCC3N(CC2=C(Cl)N=C1)C=N,no match,no match,0.25,0,0,0,CLEAR
CC1(O)C(O)C2(C)OCC(N)C2C1(O)CN,no match,no match,0.375,0,0,0,CLEAR
CN1C2=CC=C1CC(N)C(N)C(CO)COC2,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1CC2CN1C(CCO)C(CCO)N2C=O,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1=C(N)C=C(NCCCOC(CN)C#C)O1,no match,no match,0.29411764705882354,0,0,0,CLEAR
CC1(OCCC(C)(C(O)C#C)C(=O)O1)C#C,no match,no match,0.25,0,0,0,CLEAR
